lake,date,filter,before,after,removed
Amatitlan,2026-01-08,inside_aoi,306860,302114,4746
Amatitlan,2026-01-08,datamask,302114,302114,0
Amatitlan,2026-01-08,water,302114,36644,265470
Amatitlan,2026-01-08,cloud,36644,36643,1
Amatitlan,2026-01-08,finite,36643,36643,0
Amatitlan,2026-01-08,physical_range,36643,36627,16
Amatitlan,2026-01-08,duplicates,36627,36627,0
Amatitlan,2026-02-02,inside_aoi,306860,302114,4746
Amatitlan,2026-02-02,datamask,302114,302114,0
Amatitlan,2026-02-02,water,302114,36112,266002
Amatitlan,2026-02-02,cloud,36112,36111,1
Amatitlan,2026-02-02,finite,36111,36111,0
Amatitlan,2026-02-02,physical_range,36111,36095,16
Amatitlan,2026-02-02,duplicates,36095,36095,0
Amatitlan,2026-02-07,inside_aoi,306860,302114,4746
Amatitlan,2026-02-07,datamask,302114,302114,0
Amatitlan,2026-02-07,water,302114,36537,265577
Amatitlan,2026-02-07,cloud,36537,36537,0
Amatitlan,2026-02-07,finite,36537,36537,0
Amatitlan,2026-02-07,physical_range,36537,36522,15
Amatitlan,2026-02-07,duplicates,36522,36522,0
Amatitlan,2026-03-29,inside_aoi,306860,302114,4746
Amatitlan,2026-03-29,datamask,302114,302114,0
Amatitlan,2026-03-29,water,302114,36570,265544
Amatitlan,2026-03-29,cloud,36570,36567,3
Amatitlan,2026-03-29,finite,36567,36567,0
Amatitlan,2026-03-29,physical_range,36567,36563,4
Amatitlan,2026-03-29,duplicates,36563,36563,0
Amatitlan,2026-04-13,inside_aoi,306860,302114,4746
Amatitlan,2026-04-13,datamask,302114,302114,0
Amatitlan,2026-04-13,water,302114,36760,265354
Amatitlan,2026-04-13,cloud,36760,36755,5
Amatitlan,2026-04-13,finite,36755,36755,0
Amatitlan,2026-04-13,physical_range,36755,36753,2
Amatitlan,2026-04-13,duplicates,36753,36753,0
Amatitlan,2026-04-28,inside_aoi,306860,302114,4746
Amatitlan,2026-04-28,datamask,302114,302114,0
Amatitlan,2026-04-28,water,302114,34893,267221
Amatitlan,2026-04-28,cloud,34893,34815,78
Amatitlan,2026-04-28,finite,34815,34815,0
Amatitlan,2026-04-28,physical_range,34815,34806,9
Amatitlan,2026-04-28,duplicates,34806,34806,0
Amatitlan,2026-06-19,inside_aoi,306860,302114,4746
Amatitlan,2026-06-19,datamask,302114,302114,0
Amatitlan,2026-06-19,water,302114,36621,265493
Amatitlan,2026-06-19,cloud,36621,36609,12
Amatitlan,2026-06-19,finite,36609,36609,0
Amatitlan,2026-06-19,physical_range,36609,36604,5
Amatitlan,2026-06-19,duplicates,36604,36604,0
