lake,spatial_block,0,1
Atitlan,Atitlan_1000m_689_1628,21060,2
Atitlan,Atitlan_1000m_689_1629,4720,0
Atitlan,Atitlan_1000m_690_1618,5129,21
Atitlan,Atitlan_1000m_690_1619,8318,13
Atitlan,Atitlan_1000m_690_1620,13554,46
Atitlan,Atitlan_1000m_690_1621,21633,16
Atitlan,Atitlan_1000m_690_1622,23291,0
Atitlan,Atitlan_1000m_690_1623,22415,0
Atitlan,Atitlan_1000m_690_1624,22132,0
Atitlan,Atitlan_1000m_690_1625,22026,0
Atitlan,Atitlan_1000m_690_1626,21920,0
Atitlan,Atitlan_1000m_690_1627,22558,0
Atitlan,Atitlan_1000m_690_1628,22772,1
Atitlan,Atitlan_1000m_690_1629,5473,0
Atitlan,Atitlan_1000m_691_1614,0,1
Atitlan,Atitlan_1000m_691_1621,10659,36
Atitlan,Atitlan_1000m_691_1622,23712,1
Atitlan,Atitlan_1000m_691_1623,22463,0
Atitlan,Atitlan_1000m_691_1624,22962,0
Atitlan,Atitlan_1000m_691_1625,22337,0
Atitlan,Atitlan_1000m_691_1626,21922,0
Atitlan,Atitlan_1000m_691_1627,21865,0
Atitlan,Atitlan_1000m_691_1628,22877,0
Atitlan,Atitlan_1000m_691_1629,18507,1
Atitlan,Atitlan_1000m_692_1621,1867,5
Atitlan,Atitlan_1000m_692_1622,20552,6
Atitlan,Atitlan_1000m_692_1623,22542,0
Atitlan,Atitlan_1000m_692_1624,22668,0
Atitlan,Atitlan_1000m_692_1625,22138,0
Atitlan,Atitlan_1000m_692_1626,21627,0
Atitlan,Atitlan_1000m_692_1627,20938,0
Atitlan,Atitlan_1000m_692_1628,21939,1
Atitlan,Atitlan_1000m_692_1629,23412,0
Atitlan,Atitlan_1000m_692_1630,3366,0
Atitlan,Atitlan_1000m_693_1616,180,0
Atitlan,Atitlan_1000m_693_1621,570,2
Atitlan,Atitlan_1000m_693_1622,20831,5
Atitlan,Atitlan_1000m_693_1623,22682,0
Atitlan,Atitlan_1000m_693_1624,22189,0
Atitlan,Atitlan_1000m_693_1625,21477,0
Atitlan,Atitlan_1000m_693_1626,21618,0
Atitlan,Atitlan_1000m_693_1627,21252,0
Atitlan,Atitlan_1000m_693_1628,21380,1
Atitlan,Atitlan_1000m_693_1629,23886,0
