lake,train_dates,test_dates
Atitlan,"2025-01-18,2025-04-13,2025-05-13,2025-07-17,2025-11-21,2025-12-29,2026-02-12,2026-03-24,2026-04-13","2026-04-28,2026-07-22"
Amatitlan,"2025-01-28,2025-04-15,2025-04-28,2025-11-24,2026-01-08,2026-02-02,2026-02-07,2026-03-29,2026-04-13","2026-04-28,2026-06-19"
