strategy,model,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp,best_params
random_70_30,logistic_regression,0.9884369449378331,0.9916162608386738,0.5460398695777787,0.9948864490900887,0.7050923335198657,0.9987604921610251,0.9233996614226795,932803,10999,68,13230,"{""model__C"": 1.0}"
random_70_30,random_forest,0.9975404868874725,0.9422584392261991,0.9341478895588702,0.8853963001955181,0.9091189869508146,0.9985351021242868,0.9726325720323055,942972,830,1524,11774,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1}"
random_70_30,hist_gradient_boosting,0.9975195904294222,0.9540731313274997,0.911853415774393,0.9093848699052489,0.9106174698795181,0.9987757108197176,0.9718797912750231,942633,1169,1205,12093,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.05, ""model__max_leaf_nodes"": 31}"
