lago,fecha,chl_medio,chl_mediana,chl_p90,chl_max,ndci_medio,ndvi_medio,ndwi_medio,fai_medio,pct_area_alta,pct_area_intensa,area_agua_km2,cobertura,n_pixeles,fecha_dt,mes,anio,estacion
Amatitlan,2025-01-28,4.448575755239661,4.485177516937256,4.7523722648620605,31.26371192932129,0.029308092554358706,-0.2247976225028624,0.4608041821770524,0.0009435382593286727,0.13126948531422633,0.01367390472023191,14.6264,0.9999453073725662,36566,2025-01-28,1,2025,Seca
Amatitlan,2025-04-15,4.583739973588379,4.606287956237793,5.938442897796631,33.884395599365234,0.049543333443365305,-0.10340801782396876,0.29341852726065554,0.0033294890350998286,0.9461824546051193,0.03828483920367535,14.6272,1.0,36568,2025-04-15,4,2025,Seca
Amatitlan,2025-04-28,5.8845131157935775,4.907979249954224,9.18321704864502,65.61683654785156,0.09242072902057925,-0.07938802271358811,0.2900057905335408,0.006685185748216947,7.885078878177038,0.4190403155127082,14.604800000000001,0.998468606431853,36512,2025-04-28,4,2025,Seca
Amatitlan,2025-11-24,4.76186056420127,4.009381294250488,5.153550720214846,113.82847595214844,0.02163398167955068,-0.21472265364354745,0.43311373408733006,0.0022829730995768795,2.1915406530791146,0.9615384615384616,14.601600000000001,0.9982498359221177,36504,2025-11-24,11,2025,Seca
Amatitlan,2026-01-08,6.967270114106413,4.890136241912842,7.9175370693206935,149.96737670898438,0.10148085159748348,-0.10672921365590884,0.3572110701748994,0.0046932703240808605,7.3370159702472115,2.8576897834171953,14.6272,1.0,36568,2026-01-08,1,2026,Seca
Amatitlan,2026-02-02,4.295536356769686,4.395901203155518,4.710601663589478,56.01130294799805,0.01972234181440148,-0.10546253696239474,0.2916746283124482,0.0015006664297622376,0.02734631371691096,0.0054692627433821925,14.6272,1.0,36568,2026-02-02,2,2026,Seca
Amatitlan,2026-02-07,4.313311462424446,4.447190761566162,4.738481521606445,74.07936096191406,0.02205145283065002,-0.1491631568060384,0.3659537797773658,0.0004145707177189256,0.06563115292058631,0.0054692627433821925,14.6272,1.0,36568,2026-02-07,2,2026,Seca
Amatitlan,2026-03-29,6.455563949394304,5.2445969581604,8.240244102478025,82.32703399658203,0.12985445286045288,-0.09994118251911749,0.32042591998159836,0.004970063313963363,7.769725146998496,1.2771776288800767,14.626000000000001,0.9999179610588492,36565,2026-03-29,3,2026,Seca
Amatitlan,2026-04-13,6.763838306578808,6.400698184967041,8.662949752807618,36.59186553955078,0.17313505270325683,-0.06820003647622373,0.2987824356104333,0.009619118971570452,4.758909279873095,0.021880042666083198,14.625200000000001,0.9998632684314155,36563,2026-04-13,4,2026,Seca
Amatitlan,2026-04-28,10.350162905386759,6.705557346343994,22.480220413208006,70.47172546386719,0.1556393579809844,0.02833948773707671,0.22029291353642733,0.019777869078720912,36.90114446369239,7.400675886746372,14.0852,0.9629457449135856,35213,2026-04-28,4,2026,Seca
Amatitlan,2026-06-19,11.59651724827011,10.67950439453125,18.59285678863527,91.79129028320312,0.2297142529110463,-0.045781865841797845,0.3552724715115616,0.013489276503032763,53.59096378951974,3.746854829887321,14.6256,0.9998906147451324,36564,2026-06-19,6,2026,Lluviosa
Atitlan,2025-01-18,0.5943976144038415,0.33116835355758667,1.565186619758606,30.942659378051758,-0.0885819755243652,-0.2757009757270287,0.5675733669198094,-0.0003971125037285867,0.039956375498226525,0.0006550225491512545,122.1332,1.0,305333,2025-01-18,1,2025,Seca
Atitlan,2025-04-13,1.7590614557871447,1.725504994392395,2.5977392196655273,17.014875411987305,-0.06549494263254968,-0.1750223315409415,0.4318748625019705,-0.000775584933256244,0.00393093349843254,0.0,122.1084,0.9997969430097631,305271,2025-04-13,4,2025,Seca
Atitlan,2025-05-13,1.3216006914218752,1.249790072441101,2.5942559242248535,22.858957290649414,-0.07317228871433,-0.1817728633270005,0.43385200088466247,-0.0006428077484902161,0.00589539602322786,0.0,122.12920000000001,0.9999672488725424,305323,2025-05-13,5,2025,Lluviosa
Atitlan,2025-07-17,1.3622112941331865,1.2267059087753296,2.9105937480926514,197.0356903076172,-0.07245883579705242,-0.17144119884142422,0.4384151703063864,0.00042981011967304874,0.09314773755952926,0.009511564750797005,121.9568,0.9985556752791215,304892,2025-07-17,7,2025,Lluviosa
Atitlan,2025-11-21,0.5728618852416162,0.23150017857551575,1.5443416833877563,33.07023239135742,-0.08936138018824782,-0.2681346578774035,0.563799748259437,-0.00040429083681726063,0.06779483383715484,0.001310045098302509,122.1332,1.0,305333,2025-11-21,11,2025,Seca
Atitlan,2025-12-29,0.6608922326878843,0.44361793994903564,1.6059491634368896,25.740880966186523,-0.08633270935869278,-0.2387205862697247,0.5151385974665916,-0.0008495462108999646,0.043558999518558426,0.00032751127457562727,122.1332,1.0,305333,2025-12-29,12,2025,Seca
