lago,fecha,n,pearson_ndvi,spearman_ndvi,pearson_ndwi,spearman_ndwi
Amatitlan,2025-01-28,36566,0.3467684951684558,0.053377250499845236,-0.3198313208989553,0.058016614808568887
Amatitlan,2025-04-15,36568,0.8020254847877466,0.8170682452860003,-0.6159438456607628,-0.6566464810210018
Amatitlan,2025-04-28,36512,0.8306193993868296,0.8666259464119803,-0.7045093275782716,-0.8019043696137206
Amatitlan,2025-11-24,36504,0.7223532251949562,0.5831455406621248,-0.7527233030396131,-0.4587412181499891
Amatitlan,2026-01-08,36568,0.7558390120900044,0.6692830226725134,-0.7920950175686323,-0.6521684861975283
Amatitlan,2026-02-02,36568,-0.025442680201691662,-0.17867028442197117,0.09179005105765692,0.2328693753367048
Amatitlan,2026-02-07,36568,0.3158972306149318,0.3490744999304104,-0.3819465790618184,-0.5183948400986147
Amatitlan,2026-03-29,36565,0.8840911086663646,0.6029402618024564,-0.8033334375439513,-0.5024622868916641
Amatitlan,2026-04-13,36563,0.560799832619997,0.5644405798367438,0.009474224041414753,0.13692068006630145
Amatitlan,2026-04-28,35213,0.9402025444108755,0.9300963156008056,-0.9059774639592122,-0.8981898210289545
Amatitlan,2026-06-19,36564,0.8694701541663841,0.8360531734168607,-0.7424009401013019,-0.639729617612366
Atitlan,2025-01-18,40000,0.5529191491194771,0.3728181775915919,-0.5181320903057167,-0.23642206644502942
Atitlan,2025-04-13,40000,0.6599559920325353,0.6380471015041508,-0.585772252900663,-0.5689146716285498
Atitlan,2025-05-13,40000,0.7730965918005335,0.7812327561016251,-0.7236509848058572,-0.7358894145947648
Atitlan,2025-07-17,40000,0.6462032261157407,0.6528004158607793,-0.5723459085336549,-0.6040235159767317
Atitlan,2025-11-21,40000,0.6073591448793136,0.4388332855895209,-0.574026039080005,-0.31103749041006834
Atitlan,2025-12-29,40000,0.6783801886197256,0.5685965969606086,-0.6152832066660536,-0.41624514438329974
Atitlan,2026-02-12,40000,0.5414953064589184,0.4468782513979249,-0.48373337000349026,-0.3181732703535824
Atitlan,2026-03-24,40000,0.644821685302956,0.5607575787223344,-0.5913410417307101,-0.4626017323735133
Atitlan,2026-04-13,40000,0.6246945487393243,0.6448299652468868,-0.5817623665397358,-0.6056978542567087
Atitlan,2026-04-28,40000,0.7720186758734005,0.7922354451641445,-0.7251599006339182,-0.7500602408563796
Atitlan,2026-07-22,40000,0.7091928361598941,0.6768876231096428,-0.6812281580302242,-0.659694389711256
