lago,fecha,p10,p25,p50,p75,p90,p99,asimetria
Atitlan,2025-01-18,0.0,0.0,0.33116835355758667,0.9732171297073364,1.565186619758606,3.369047164916992,4.1724710670001155
Atitlan,2025-04-13,0.9236122369766235,1.307586669921875,1.725504994392395,2.159651041030884,2.5977392196655273,3.864783525466919,0.8489444254189197
Atitlan,2025-05-13,0.0,0.5094738602638245,1.249790072441101,2.019227981567383,2.5942559242248535,3.9312276506423847,0.7192860851113483
Atitlan,2025-07-17,0.0,0.35991813987493515,1.2267059087753296,2.048628330230713,2.9105937480926514,4.5717145061493,21.107130397474617
Atitlan,2025-11-21,0.0,0.0,0.23150017857551575,0.9134349822998047,1.5443416833877563,3.932440996170039,5.358795306604162
Atitlan,2025-12-29,0.0,0.0,0.44361793994903564,1.0429332256317139,1.6059491634368896,3.622312545776367,4.057638572181306
Atitlan,2026-02-12,0.0,0.3229619562625885,0.8776199817657471,1.3877464532852173,1.8614553213119507,3.5646910953521647,2.603121318205233
Atitlan,2026-03-24,0.29074323177337646,0.752047061920166,1.2248549461364746,1.681893229484558,2.1319401264190674,3.713376045227051,1.3439206498746368
Atitlan,2026-04-13,0.868361234664917,1.5426825284957886,2.1838769912719727,2.760830879211426,3.2351717948913574,4.154240474700927,1.0625993641512523
Atitlan,2026-04-28,0.7118368148803711,1.220940351486206,1.8669884204864502,2.4359118938446045,2.8937742710113525,4.236642274856568,1.1433980741651952
Atitlan,2026-07-22,0.0,0.29195085167884827,1.1095240116119385,1.9521706104278564,2.654022693634033,4.681298732757568,4.921717236206521
Amatitlan,2025-01-28,3.9828617572784424,4.2633819580078125,4.485177516937256,4.637197494506836,4.7523722648620605,5.840281057357777,15.464968019004333
Amatitlan,2025-04-15,3.3151899099349977,3.562774896621704,4.606287956237793,5.127709865570068,5.938442897796631,9.911257266998302,4.240053735378328
Amatitlan,2025-04-28,3.733182191848755,4.100717544555664,4.907979249954224,6.358456611633301,9.18321704864502,19.228733978271467,4.543544210053419
Amatitlan,2025-11-24,3.1216073036193848,3.5525810718536377,4.009381294250488,4.563204765319824,5.153550720214846,24.211923046112126,11.63666308314883
Amatitlan,2026-01-08,4.367843103408814,4.718079566955566,4.890136241912842,5.207604885101318,7.9175370693206935,62.35456443786621,7.3625260684263205
Amatitlan,2026-02-02,3.753216505050659,4.004995346069336,4.395901203155518,4.588305473327637,4.710601663589478,5.011984009742737,30.086453066243624
Amatitlan,2026-02-07,3.6488215923309326,3.9878103733062744,4.447190761566162,4.638279914855957,4.738481521606445,5.10449841499329,43.21441170952274
Amatitlan,2026-03-29,4.70594482421875,4.923873424530029,5.2445969581604,5.933793067932129,8.240244102478025,25.820196914672852,4.059215455462196
Amatitlan,2026-04-13,5.338252544403076,5.724188327789307,6.400698184967041,7.232811212539673,8.662949752807618,13.148451251983635,2.647003764525608
Amatitlan,2026-04-28,3.998223304748535,4.234048843383789,6.705557346343994,14.852948188781738,22.480220413208006,36.171714477539034,1.5136106436453085
Amatitlan,2026-06-19,5.165394878387451,6.20987343788147,10.67950439453125,14.688558340072632,18.59285678863527,37.177534294128435,2.4957984977301977
