lago,n_fechas,pearson_ndvi_medio,p_ndvi_medio,pearson_ndwi_medio,p_ndwi_medio
Amatitlan,11,0.7481115663768991,0.008098697065069202,-0.3669480184516108,0.2669670255844975
Atitlan,11,0.9066364471092001,0.00011861003504005719,-0.9561363081199663,4.259769371404288e-06
